NUMELEVE,FRAN4,CPBIS,CE1BIS,CE2BIS,CM1BIS,CM2BIS,MATH4,ECOLE2,CLASSE2,COURS2,RDBLT2,FRAN3,MATH3,MOIS,ANNEE,FRAT,PREEL,CSPP,CSPM,FILLE,ANCENS2,NBEL2,NBCOURS2,arti,sup,inter,empl,ouvr,autr,cmult,cmultnomb,mfran3,mmath3,msup,mouvr,stdfran3,stdmath3
723,0.050815228,1,0,0,0,0,-0.528522051,4,7,1,0,0.236290122,0.155599146,9,91,1,3,6,5,1,28,22,3,0,0,0,0,1,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
724,1.733950709,1,0,0,0,0,0.699278814,4,7,1,0,-0.2517136,0.933697036,11,91,1,3,3,8,1,28,22,3,0,1,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
725,0.639194893,1,0,0,0,0,1.247222453,4,7,1,0,-0.889146801,0.527626472,10,91,4,3,4,5,0,28,22,3,0,0,1,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
726,0.050815228,1,0,0,0,0,0.270806258,5,8,1,0,-1.808255053,0.305288083,8,91,1,3,5,8,0,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
727,0.361372615,1,0,0,0,0,1.060347653,5,8,1,0,0.414186542,1.376386773,2,91,1,3,4,7,1,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
728,0.248997641,1,0,0,0,0,0.699278814,5,8,1,0,-0.2517136,1.277349043,12,91,1,3,3,3,0,13,23,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
729,0.115003509,1,0,0,0,0,0.899046517,5,8,1,0,0.035592065,2.130644437,9,91,2,3,4,4,0,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
730,-0.591450315,1,0,0,0,0,0.416834169,5,8,1,0,0.035592065,1.376386773,2,91,2,3,3,8,0,13,23,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
731,1.626153552,1,0,0,0,0,-0.181859931,5,8,1,0,-0.2517136,1.595472557,12,91,3,3,5,6,1,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
732,2.165333726,1,0,0,0,0,0.899046517,5,8,1,0,0.972953395,1.376386773,2,91,1,3,4,4,1,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
733,0.754370247,1,0,0,0,0,0.899046517,5,8,1,0,0.82957423,1.839049453,6,91,1,3,6,3,1,13,23,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
734,0.248997641,1,0,0,0,0,0.416834169,5,8,1,0,-0.575186802,0.844975771,1,91,1,3,5,8,0,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
735,0.754370247,1,0,0,0,0,0.270806258,5,8,1,0,-1.467252303,1.027351892,4,91,1,3,1,5,0,13,23,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
736,0.961023906,1,0,0,0,0,0.699278814,5,8,1,0,-1.015944206,0.336743364,10,91,2,3,3,5,1,13,23,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
737,1.459471414,1,0,0,0,0,0.699278814,5,8,1,0,-0.2517136,1.914992326,7,91,2,3,5,4,0,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
738,-0.82896351,1,0,0,0,0,-1.31124829,5,8,1,0,-1.649807048,-0.538383601,9,91,2,3,4,8,0,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
739,1.626153552,1,0,0,0,0,0.270806258,5,8,1,0,0.82957423,1.839049453,1,91,2,3,6,4,1,13,23,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
740,0.050815228,1,0,0,0,0,-0.414775603,6,34,1,0,-0.2517136,-0.957039168,5,91,0,3,2,8,1,6,18,2,1,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
741,0.504021904,1,0,0,0,0,0.416834169,6,34,1,0,0.586298574,0.527626472,9,91,1,3,2,5,1,6,18,2,1,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
742,0.248997641,1,0,0,0,0,2.464768617,6,34,1,0,-0.720806202,1.277349043,5,91,1,3,5,8,1,6,18,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
743,-1.540473268,1,0,0,0,0,-0.716194086,6,34,1,0,-0.2517136,-1.468813356,8,91,1,3,5,8,1,6,18,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
744,0.248997641,1,0,0,0,0,0.270806258,6,34,1,0,0.236290122,0.018672692,5,91,1,3,4,5,1,6,18,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
745,0.248997641,1,0,0,0,0,0.567946474,6,34,1,0,0.035592065,0.527626472,2,91,1,3,6,4,0,6,18,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
746,-0.164397303,1,0,0,0,0,-0.628770825,6,34,1,0,0.035592065,0.018672692,3,91,1,3,5,5,0,6,18,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
747,1.888850828,1,0,0,0,0,1.759278631,6,34,1,0,1.762050139,0.933697036,4,91,2,3,1,5,1,6,18,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
748,-2.044536627,1,0,0,0,0,-1.661710302,6,34,1,0,-1.808255053,-1.819153145,6,91,2,3,1,4,0,6,18,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
749,0.754370247,1,0,0,0,0,0.416834169,7,35,1,0,-1.129080437,-0.410839607,4,91,1,3,5,5,1,19,13,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
750,0.754370247,1,0,0,0,0,0.567946474,7,35,1,0,0.972953395,0.155599146,4,91,2,3,1,1,1,19,13,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
751,0.361372615,1,0,0,0,0,0.899046517,7,35,1,0,-0.438793784,0.018672692,3,91,1,3,6,5,1,19,13,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
752,0.115003509,1,0,0,0,0,0.699278814,7,35,1,0,0.035592065,-0.64059382,12,91,5,3,4,5,1,19,13,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
753,0.639194893,1,0,0,0,0,0.416834169,7,35,1,0,0.586298574,0.489371146,5,91,1,3,4,8,1,19,13,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
754,0.050815228,1,0,0,0,0,1.421435921,7,35,1,0,-0.438793784,1.027351892,5,91,2,3,5,8,0,19,13,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
755,-0.914240336,1,0,0,0,0,0.064100833,7,35,1,0,-0.575186802,-1.819153145,3,91,1,3,6,8,0,19,13,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
756,1.459471414,1,0,0,0,0,1.987014511,7,35,1,0,1.593995051,1.178166022,5,91,1,3,6,5,0,19,13,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
757,-1.901629639,1,0,0,0,0,-1.469691158,9,36,1,0,0.414186542,-0.538383601,10,91,1,3,2,5,0,21,26,1,1,0,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
758,-1.733950709,1,0,0,0,0,-2.014391625,9,36,1,0,-2.27699203,-1.977144666,10,91,2,2,5,1,0,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
759,-1.133425413,1,0,0,0,0,-1.20330629,9,36,1,0,-0.889146801,-1.74601574,10,91,0,3,6,5,0,21,26,1,0,0,0,0,1,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
760,-1.901629639,1,0,0,0,0,-0.224172509,9,36,1,0,-2.002983839,-1.74601574,10,91,2,3,5,5,1,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
761,0.961023906,1,0,0,0,0,2.464768617,9,36,1,0,1.642503902,1.892134984,2,91,2,4,3,3,0,21,26,1,0,1,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
762,0.050815228,1,0,0,0,0,-1.005747376,9,36,1,0,0.236290122,-1.152387169,9,91,1,3,4,5,0,21,26,1,0,0,1,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
763,0.504021904,1,0,0,0,0,0.899046517,9,36,1,0,0.035592065,0.527626472,4,91,1,4,7,5,1,21,26,1,0,0,0,0,0,1,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
764,-0.724650308,1,0,0,0,0,-1.080458772,9,36,1,0,-1.649807048,-0.797864068,3,91,3,,5,1,1,21,26,1,0,0,0,1,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
765,0.961023906,1,0,0,0,0,0.270806258,9,36,1,0,-0.482520927,-0.366534223,2,91,2,3,2,8,1,21,26,1,1,0,0,0,0,0,0,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
